run,quality_index,q_local_options,q_four_week_plan,q_decision,q_grounding,density_vs_baseline,dim_flips,unusable_dims,calls,cost_usd,model,effort
fullvol-append/rep-3,1.5,1.5,-2.0,0.0,2.0,-1.0,0,0,2,4.8739,claude-opus-5,high
prefix-append/rep-2,1.5,1.5,-2.0,0.0,2.0,1.0,0,0,2,3.7797,claude-opus-5,high
prefix-droptools/rep-3,1.5,0.0,0.0,0.0,1.5,0.0,3,0,4,2.5871,claude-opus-5,high
live-append-fetchcap8k/rep-21,1.25,1.25,-2.0,0.0,2.0,1.75,1,0,4,1.9648,claude-opus-5,high
off-append/rep-2,1.25,1.5,-2.0,0.0,1.75,1.0,0,0,4,6.9184,claude-opus-5,high
live-droptools2/rep-23,1.0,2.0,-2.0,0.0,1.0,1.5,0,0,2,2.2224,claude-opus-5,high
prefix-compact/rep-1,0.25,-1.0,-1.0,0.25,2.0,1.5,0,0,4,4.4003,claude-opus-5,high
full-append/rep-4,0.0,0.0,-2.0,0.0,2.0,1.0,1,0,2,1.4719,claude-opus-5,high
naive-append/rep-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.0659,claude-opus-5,high
live-append-effort-low/rep-12,-0.25,0.0,-1.75,-0.5,2.0,1.5,1,0,4,1.0555,claude-opus-5,low
prefix-droptools/rep-2,-0.25,0.0,-2.0,-0.25,2.0,1.0,1,0,4,4.7429,claude-opus-5,high
prefix-append/rep-3,-0.5,1.5,-2.0,-1.0,1.0,1.0,0,0,4,3.1981,claude-opus-5,high
fullvol-append/rep-4,-0.75,0.0,-1.75,0.0,1.0,1.0,1,0,4,4.8737,claude-opus-5,high
live-droptools/rep-21,-1.5,-1.0,-1.5,0.0,1.0,1.0,1,0,2,2.9931,claude-opus-5,high
live-append-effort-low/rep-11,-2.0,-2.0,-1.5,-0.5,2.0,1.5,0,0,2,0.6739,claude-opus-5,low
live-append/rep-4,-2.0,-1.5,-2.0,0.0,1.5,-1.0,0,0,2,1.7825,claude-opus-5,high
live-compact/rep-21,-2.0,-2.0,-2.0,0.0,2.0,1.5,0,0,2,1.9316,claude-opus-5,high
full-compact/rep-1,-4.0,-2.0,-2.0,-1.0,1.0,1.0,0,0,2,2.3515,claude-opus-5,high
live-append-sonnet/rep-11,-4.0,-2.0,-2.0,-1.0,1.0,0.0,1,0,2,0.4914,claude-sonnet-5,high
live-append-sonnet/rep-12,-4.0,-2.0,-2.0,-1.0,1.0,-1.0,0,0,2,0.7799,claude-sonnet-5,high
live-append-effort-low/rep-1,-5.5,-2.0,-2.0,-0.5,-1.0,1.0,0,0,2,0.7445,claude-opus-5,low
live-append-sonnet/rep-13,-6.0,-2.0,-2.0,-1.0,-1.0,1.0,0,0,2,0.5442,claude-sonnet-5,high
live-append-sonnet-effort-low/rep-11,-7.0,-2.0,-2.0,-1.0,-2.0,0.0,1,0,2,0.2491,claude-sonnet-5,low
live-append-sonnet-effort-low/rep-12,-7.0,-2.0,-2.0,-1.0,-2.0,0.0,1,0,2,0.3261,claude-sonnet-5,low
live-append-sonnet-effort-low/rep-13,-7.5,-2.0,-2.0,-1.5,-2.0,0.0,1,0,2,0.301,claude-sonnet-5,low
