run_id,variant,rep,cost_usd_total,score_total,completed
exp-live-append-r7-msgdlzns,live-append,rep-7,1.8585,,true
exp-live-append-effort-low-r1-msgf6o30,live-append-effort-low,rep-1,0.7445,,true
exp-live-append-effort-low-r11-msgk30mr,live-append-effort-low,rep-11,0.6739,,true
exp-live-append-effort-low-r12-msgk3g3i,live-append-effort-low,rep-12,1.0555,,true
exp-live-append-sonnet-r11-msgk3vjg,live-append-sonnet,rep-11,0.4914,,true
exp-live-append-sonnet-r12-msgk4azd,live-append-sonnet,rep-12,0.7799,,true
exp-live-append-sonnet-r13-msgk4qf5,live-append-sonnet,rep-13,0.5442,,true
exp-live-append-sonnet-effort-low-r13-msgkerny,live-append-sonnet-effort-low,rep-13,0.301,,true
exp-off-append-r11-msgkfesq,t-compliance:off-append,rep-11,9.8169,,true
exp-off-append-r12-msgkft9o,t-compliance:off-append,rep-12,14.4657,,true
exp-live-append-sonnet-effort-low-r11-msgkg1e8,live-append-sonnet-effort-low,rep-11,0.2491,,true
exp-live-append-sonnet-effort-low-r12-msgkhrg3,live-append-sonnet-effort-low,rep-12,0.3261,,true
exp-live-append-r11-msgkom8c,t-compliance:live-append,rep-11,2.5306,,true
exp-naive-append-r11-msgkpb6c,t-compliance:naive-append,rep-11,9.333,,true
exp-naive-append-r12-msgkr40b,t-compliance:naive-append,rep-12,5.5633,,true
exp-live-append-r12-msgl1o3v,t-compliance:live-append,rep-12,1.8668,,true
exp-live-append-r13-msgl76jm,t-compliance:live-append,rep-13,2.0583,,true
exp-live-append-effort-low-r13-msgl9fr4,t-compliance:live-append-effort-low,rep-13,0.7845,,true
exp-live-append-effort-low-r12-msglap61,t-compliance:live-append-effort-low,rep-12,0.7001,,true
exp-live-append-effort-low-r11-msglht2f,t-compliance:live-append-effort-low,rep-11,0.674,,true
exp-live-append-sonnet-r11-msglju1r,t-compliance:live-append-sonnet,rep-11,1.161,,true
exp-live-append-sonnet-effort-low-r12-msgllynj,t-compliance:live-append-sonnet-effort-low,rep-12,0.6146,,true
exp-live-append-sonnet-effort-low-r11-msgln0ds,t-compliance:live-append-sonnet-effort-low,rep-11,0.6199,,true
exp-live-append-sonnet-r12-msglr7eq,t-compliance:live-append-sonnet,rep-12,1.0177,,true
exp-live-append-sonnet-r13-msglth3t,t-compliance:live-append-sonnet,rep-13,1.2299,,true
exp-live-append-sonnet-effort-low-r13-msgm2sau,t-compliance:live-append-sonnet-effort-low,rep-13,0.6524,,false
exp-live-droptools-r21-mshycijq,live-droptools,rep-21,2.9931,,true
exp-live-droptools-r22-mshycijq,live-droptools,rep-22,3.3855,,true
exp-live-droptools-r23-mshycijq,live-droptools,rep-23,5.3912,,true
exp-live-droptools2-r21-mshycijq,live-droptools2,rep-21,2.3711,,true
exp-live-droptools2-r22-mshycijq,live-droptools2,rep-22,2.1576,,true
exp-live-compact-r21-mshyvc3p,live-compact,rep-21,1.9316,,true
exp-live-append-fetchcap8k-r21-mshyymu2,live-append-fetchcap8k,rep-21,1.9648,,true
exp-live-append-fetchcap8k-r22-mshz1owb,live-append-fetchcap8k,rep-22,2.1879,,true
exp-live-droptools-r22-mshza5bm,t-compliance:live-droptools,rep-22,2.6303,,true
exp-live-droptools-r21-mshzf8bz,t-compliance:live-droptools,rep-21,4.2637,,true
exp-live-droptools-r23-mshzgiri,t-compliance:live-droptools,rep-23,5.5179,,true
exp-live-droptools2-r21-mshziepk,t-compliance:live-droptools2,rep-21,1.5991,,true
exp-live-droptools2-r22-mshzmlju,t-compliance:live-droptools2,rep-22,2.4874,,true
exp-live-compact-r22-mshzsevv,t-compliance:live-compact,rep-22,2.8787,,true
exp-live-append-fetchcap8k-r21-msi00139,t-compliance:live-append-fetchcap8k,rep-21,1.7751,,true
exp-live-compact-r21-msi027im,t-compliance:live-compact,rep-21,3.0096,,true
exp-live-compact-r23-msi058ip,t-compliance:live-compact,rep-23,2.7778,,true
exp-live-append-fetchcap8k-r22-msi0838v,t-compliance:live-append-fetchcap8k,rep-22,2.6192,,true
exp-live-droptools2-r23-msi0g4ip,t-compliance:live-droptools2,rep-23,2.888,,true
exp-live-droptools2-r23-msi0hcwz,live-droptools2,rep-23,2.2224,,true
exp-live-append-fetchcap8k-r23-msi0qbli,t-compliance:live-append-fetchcap8k,rep-23,2.5124,,true
exp-live-append-fetchcap8k-r23-msi0txci,live-append-fetchcap8k,rep-23,2.731,,true
